Type,YouTube,Student,Date,Title,Keywords,Summary,MainLevel,Level1,Level2,Level3,Lecturer,Affiliation,SummaryWordCount,2-4 highlights: no longer than 3 minutes each with a clear one-line description of WHY it's a highlight,,,,,Time spent on each video,"Possible B-Roll, Background Music",,,,COMMENTS
Distinguished Lecture,http://youtu.be/_G68Q4gkOMc,West (5),23-01-2014,Spatiality in Acousmatic Music,"acousmatic music, music composition, spatiality, space","“Spatiality” refers to all those factors that contribute to the experiencing of space. In this talk, Denis Smalley elaborates on his theory of spatiality, describing the way that the sounds of acousmatic music evoke transmodal physical experiences, including motion, depth, and scale. Not just related to the perceived position of a sound in space, Smalley's theory of spatiality considers the whole acousmatic ""image"", the sources implied by the sounds or imagined by the listeners, and the spectral properties of the sounds. Smalley shares insight into his approach to composition with space in his acousmatic compositions.",Expanded Musical Practice,Acoustics,,,Denis Smalley,"City University, UK",95,"6:19-7:17 (58s), Smalley describes the way in which listening to acousmatic music is a transmodal sensory experience","42:03 - 42:53 (50s), Smalley talks about the importance of understanding spatiality for composers",42:58 - 43:38 (50s) Smalley suggests that space be given a special focus in composition,,,2hr00,20:16 - 22:22 (1m6s) excerpt from Valley Flow,30:20 - 32:46 (2m26s) another excerpt from Valley Flow,,,
Distinguished Lecture,http://youtu.be/JBhVh-yob38,West (6),27-03-2014,A listening tour of musical portraits and sonic landscapes,"sonification, collaboration, sound installation","Chris Chafe gives an overview of his work in computer music, ranging from concert pieces to investigations about how we imagine sounds in our head. The threads involve joint work with biologists, instrument builders, neurologists, conductors, students, cargo ship captains and massive groups of online listeners. From works for musicians with fixed electronic accompaniment to real-time sonification of environmental data, Chafe's work encompasses a wide range of approaches to computer music. Some of the work is pure music, some of it part engineering and observation.","Cognition, Perception and Movement",Computer Music,,,Chris Chafe,"Stanford University, USA",85,"6:37 - 7:00 (23s), Chafe identifies the thing he strives to evoke in the audience of his sound installations",10:48 - 11:31 (43s) Chafe gives an overview of some of his work in sonification of data,20:50 - 21:57 (1m07s) excerpt from Oxygen Flute,,,1hr00,3:01 - 4:39 excerpt from Free Motion,8:01 - 8:58 excerpt from Near the Inner Ear,20:50 - 21:57 excerpt from Oxygen Flute,28:04 - 29:24 excerpt from Chopper,
Distinguished Lecture,http://youtu.be/PKpRaqjbD-g,Generale (5),17-04-2014,Music Learning Through Multiple Lenses,"Music Education, Learning, Teaching Methods","What happens in a learner's mind that leads them to understanding, or not understanding, a concept? What leads learners to be able to do something, or not do something? How can educators change a learning environment and the way they teach to reflect what learners experience outside the classroom? In this lecture, Dr. Robert Duke speaks about important considerations for not only effective music learning, but effective learning across all disciplines. Drawing from examples such as case studies, and often from his own humorous personal experiences, Dr. Duke highlights the importance of teaching attitudinally, with room for error-making, and with clear visions and goals in order to engage students to learn deeply. ",Expanded Musical Practice,Education,,,Robert Duke,"University of Texas, USA",112,"(~6:00 - 9:10) Effective Expression --> Using a popular YouTube video, Dr. Duke showcases that students, even the very young, are capable of effectively expressing themselves in music and other disiciplines (this video is also referenced through the lecture)","(~11:57 - 15:10) The Brain is Not a Flash Drive --> A look into a misconception on how our brains store information that we learn, and how we can change this to facilitate deeper, more memorable learning. (It runs a little longer than 3 min because he ends with a kind of long sentence after)","(~27:14 - 29:50) A Quick Look at Dr. Duke's Work --> Offers a very quick overview of some of the Dr. Duke's work and work done at the University of Chicago, related to teaching that focuses on the effects of a musician's movements rather than the movements themselves. ","(~37:00 - 39:44) Training Wheels --> This segment highlights how error-making contributes to a student's depth of learning, and how teachers can incorporate this into the learning environments they build.",,2h30,,,,,
Student Symposium KEYNOTE,http://youtu.be/WGnUrCNdH88,Richardson (2),07-05-2014,Scordatura: on re-mapping the body to sound ,"instrument creation, instrument modification, scordatura, electronic instrument, composition","What creative doors open when we employ scordatura to re-explore the possibilities of musical instruments? Likewise, what opportunities become available with the introduction of completely new instruments? When we remove musicians from their well-learned accustomed modes of musical performance, creative potentials are fueled. Trueman discusses his multifaceted work as a fiddler, inventor, and composer with new and reconfigured instruments. From composing with his Hardanger d’Amore fiddle played with alternative tunings to inventing new musical instruments and co-founding the Princeton Laptop Orchestra, his work involves “leveraging and subverting existing, hard-earned embodied modes of expression” for the purpose of providing embodied creative spaces. ","Instruments, Devices and Systems",Design,,,Dan Trueman,"Princeton University, USA",101,2:08-2:37 goal for presentation and intro of term: scordatura.,"34:31-36:44 benefits of one of his invented instruments, opportunities new instruments provide, and ""what now?"" (What to do with these newly invented instruments?), and introduction of new ensemble ",53:58-54:30 What should we aim for in designing new instruments? ,,,2hr 15m,,,,,
Distinguished Lecture,http://youtu.be/GAzVZOZe2f8,Rong (1),30-09-2014,Music Recommendation and Discovery at scale,"music recommendation, computer programming, psychology ","Douglas Eck, of Google USA, traces the evolution of musical formats from CDs to digital albums to online streaming – developments shaped by the debuts of devices like iPods and iPhones. By distinguishing between the situations in which we have low and high engagement with music, he discusses the importance of smart user design and the role of neuroscientists, psychologists, and musicologists in the complex system of music recommendation. Three technical aspects are instrumental in suggesting music to listeners: collecting other users’ preferences to learn about possible similarities in music taste, the social knowledge and connections of musicians themselves, and audio signal processing that tags audio that sound similar together.","Cognition, Perception and Movement",Psychology,,,Douglas Eck,"Research Scientist, Google, USA",109,"8:01 - 8:22 Once someone starts listening to music with a service such as Spotify or Pandora, they are more likely to be drawn in and continue to branch off and listen to new music - so the way to expose music to more users is just to get them started on platforms like these.","13:39 - 14:01 Many of our cultural connections to music have been lost as we transition to digitalized forms of music, such as the courtship rituals of making mixtapes or browsing in record shops. Eck believes we should continuously be striving to get some of this connection back.","34:43 - 36:06 Linear algebra is used extensively to calculate the popularity, niche, and ranking of specific musical tracks. This can draw parallels between artists and assist in music recommendation.","43:16 - 44:40 Auditory programs are able to analyze similar-sounding ""clusters"" of audio that may recur in the same genre of music.",,2hr 30,,,,,
Distinguished Lecture,http://youtu.be/5pT5i1Fm3kw,West (2),13-11-2014,Growing a global business from a small factory,"music instrument business, guitar manufacturing, entrepreneurship, marketing","Robert Godin tells a story from humble beginnings building a few guitars with an ex-window maker to a global business manufacturing thousands of guitars at half a dozen factories around Canada. Godin shares some of the important lessons he has learned over the years, recounting some of the mistakes he made and some of the opportunities he took full advantage of and offering his insight into what is most important when building and selling a musical instrument. With excitement and enthusiam, Godin describes the way technology has changed his business, from online retail to robotic machinery, despite himself never owning a personal computer.","Instruments, Devices and Systems",Business,,,Robert Godin,"Godin Guitars, Canada",103,"18:49-19:11 (22s), Godin emphasizes that marketing an instrument as as difficult as manufacturing an instrument","32:16-32:53 (37s), Godin shares a surprising insight: the sound of an instrument is only the third thing a guitarist considers when buying a guitar, after the look, and the feel.","45:23-46:29 (66s), an anecdote, an old Norman guitar made in 1974 sold for 10 times its original price in 2014. Compare and contrast with the instant obsolescence and disposability of consumer electronic.","57:53-58:13 (20s), Godin shares his excitement for the future, talking about the incredible advances in their manufacturing processes using state of the art industrial robotics.",,1hr13min + 1hr30,,,,,
Distinguished Lecture,http://youtu.be/T2JnSfpFJ24,Martins (2),12-02-2015,Apollo's gift and curse: Acquisition and loss of skilled movements in musicians,"Brain, music performance, physiology, focal distonya, expertise, music practice, performance-related musculoskeletal disease","In an interesting analogy to the mythological figures of Apollo and Marsyas, Dr. Altenmuller discusses how music can be both beneficial and harmful to brain plasticity, which is the functional and structural adaptation of the nervous system to processing of relevant stimuli. Sharing his lifework, this musician-physician highlights some of his successful studies on musicians, including some players from Berlin’s Philharmonic and a French horn player without arms! With a physiological perspective, these studies encompass contrasting effects of music practice, from the motor refinement achieved with expertise to the causes, triggering factors and available treatments for focal distonya.","Cognition, Perception and Movement",Performance,,,Eckart Altenmüller,"Hannover University of Music, Drama and Media, Germany",98,"11:15-12:15
Real-time MRI of four Berlin Philharmonic players.","24:12-25:29
Impressive Mozart performance by 17-year-old French horn player Felix Klieser.",,,,3hr,,,,,
Distinguished Lecture,https://youtu.be/B2cWQqfCqLA,Gjerbic (2),19-03-2015,Musicology centered design,"human-centered design, survey, music researchers","In this lecture, Frans Wiering discusses the long-standing discrepancy between the technological needs of musicologists and the products designed by software engineers. Attributing this mismatch to a lack of sensitivity to the needs of music researchers, Wiering advocates a “human-centered” approach to the design of new technologies. Careful study of the stakeholders lies at the center of this approach: what do musicologists do and value? Wiering provides preliminary results of a 500+ participant survey, demonstrating that music researchers are frustrated with the current design of many software packages. Engineers need to design new technology with musicologists, interactively, not for them.",Music Information Research,Design,,,Frans Wiering,"Universiteit Utrecht, Netherlands",100,"Wiering discusses the advantages of “human-centered design” in interactive system design, emphasizing that this model does not presuppose an existing technology, but begins with a problem and designs the technology to solve that problem (29:19–30:33). ","One of the most significant preliminary results of the survey is that in regards to “rewarding and frustrating experiences [with existing technology], frustration is most notable” (41:59–42:19).",,,,3hr,,,,,
Distinguished Lecture,https://www.youtube.com/watch?v=zrpUDuUtxPM,Aspinwall (6),16-04-2015,Sound reproduction – art and science/opinions and facts,"loudspeakers, sound recording, music perception, music technology","In this lecture, Floyd Toole presents a scientific approach to sound reproduction evaluation. He talks about how subjective and technical measurements have an important relationship to psychoacoustic perception, which has a major impact on evaluation results. Mr. Toole highlights the value of repeatable tests. Using various examples, he introduces the best practices that he and his colleagues developed to ensure that the measurements are an accurate representation of a product’s timbral performance. He highlights how challenges such as room acoustics can affect the listeners’ perception of the product and, lastly, he shares his perception of what kind of technical information should be provided to the consumer.","Cognition, Perception and Movement",Perception,,,Floyd Toole,"Consultant to Harman International, USA",106,[05:54 - 8:20] He introduces the concepts that are important to listening tests and shares his personal experience as how he was introduced to these.,[56:15 - 56:47] States his philosophy in a friendly way,[57:23 - 59:58] Puts together the little bits of information he talks about during the lecture and shows the framework that they currently use,[1:07:14 - 1:07:42] An interesting remark on how manufacturers provide technical information of their products.,,4h,,,,,
Distinguished Lecture,https://youtu.be/qASbgvulDSc,Tirumala (2),24-09-2015,Frontiers of music technologies – singing synthesis and active music listening,"Vocaloid, VocaListener, VocaWatcher, Singing Synthesis,  Automatic Music analysis, Music undertsanding, Songle, Songrium","Masataka Goto unveils a world of futuristic singing synthesis engines that hopes to pave the way into the world of computer-composed internet hits and virtual pop stars performing live concerts that can respond to popular preferences among audiences. In a similar context, he continues to touch on the subject of music-understanding technology centered around hypothetical scenarios in the future, where virtual singers could evoke human emotion through their musical creations, or other kafkaesque ideas like the role of a non-human audience in the future. He then continues to present music-understanding technology as a means of cataloging the infinitely growing collection of original and derivative content created by users and computers.","Instruments, Devices and Systems",Artificial Intelligence,,,Masataka Goto,"National Institute of Advanced Industrial Science and Technology (AIST), Japan",110,8:06 - 8:56: Hatsune Miku Phenomenon using virtual singing synthesis embodied by avatars as part of live concerts,10:50 - 12:15 : VocaListener and features,"22:10 - 23:21 : In the future, can computer generated music evoke emotional responses in humans? Hypothesis for music-induced deep emotion.","31:30 - 32:23: Songle - Music learning, and exploration.",,2hr 40m,,,,,
Distinguished Lecture,https://youtu.be/mxO_z3iJAZI,Generale (2),22-10-2015,The Future of Immersive Technologies,"Perception, Immersive Technology, Neuroscience","How we interact, engage with, and perceive the world offers important insight in developing immersive technologies. In this talk, Poppy Crum, Chief Scientist at Dolby Laboratories, speaks about investigating how humans process information, biophysical reactions, and our own personalized interactions with the world to help us create holistic and more engaging immersive technologies. Existing technologies and processes are shown to illustrate the direction and potential of future immersive technology. This lecture examines the importance of explaining perception theoretically, computationally, and quantitatively in order to build immersive experiences that we can engage with that accurately represent the intent of its content's creators.  ","Instruments, Devices and Systems",Immersion,,,Poppy Crum,"Dolby, USA",101,(~9:08 - 12:03) Insight on How We Process Info using the McGurk Effect and How Perception is Malleable -- > Basic ideas and concepts from this introduction on perception will be further touched upon in later points of this talk.,(~26:11 - 29:30) How Does Our Body React to Experiences and What Makes an Experience Immersive? A Study Using Thermal Imaging - An interesting look at how our biophysical reactions (ie. The sensation of feeling heat) can contribute to us having an immersive experience.,"(~45:33 - 49:33) Our Own Personalized Filters - HRTFs: What is it, its challenges, and how can it help us build immersive experiences? --> A quick look on HRTFs (what they are, their importance, and where they are used) that illustrates how our experiences are unique and individualized, but help contribute to experiencing an immersive environment.","(1:04:20 - 1:07:25) - A Look into Dolby Atmos and Object-Based Audio --> With more and more movie theatres making a move towards Dolby Atmos, this segment highlights its technology as well as some challenges that researchers and developers still face when creating believable, immersive experiences.",,3hr ,,,,,
Distinguished Lecture,https://youtu.be/93Fa5gC1QSk,Martins (1),05-11-2015,Facing the music: Employing science and technology to enhance professional training,"performance anxiety, performance enhancement, physiology, practice, stress","At the Royal College of Music, the Centre for Performance Science researches ways to assess and enhance all kinds of human performance through a multidisciplinary approach. In this mission, music is the main tool to understand the effects of stress. Aaron Williamon discusses three studies on the anxiety in music performances and how physiological parameters compare in individuals before and during performance. Different sample sizes and analysis techniques are employed. Results show that the pre-performance period is the optimal for an intervention. To minimize anxiety and bridge the gap between dull practice rooms and challenging concert halls, a low-cost practice simulator is presented.",Expanded Musical Practice,Practice,,,Aaron Williamon,"Royal College of Music - Centre for Performance Science, UK",103,"23:49-26:16
Williamon explains why low frequency-high frequency ratio, when looking into heart rate variability, may not be the best technique to understand stress response.","43:33-44:25
Take a look at the demonstration of the practice simulator. It features an interactive audience and panel. The equipment has been tested by over 300 musicians as well as students from other disciplines.",,,,3hr34m,,,,,
Distinguished Lecture,https://youtu.be/U46X-cSRA2I,West (1),25-02-2016,Moving parts: On structure and chaotic actions in the design and build of my computer-based music(s),"algorithmic composition, the grottesque, Max/MSP, Open Music, CNMAT, collaboration","Edmund Campion describes his life as a composer, and the development of his compositional approach which brings together the traditions of western music composition and new media technology. Campion describes his aesthetic tendencies and surveys a number of his projects from 25 years of work as a composer, including some of the algorithmic processes used in his composition, and briefly touching on some of the tools developed at CNMAT for artists and composers. Highlighting the importance of collaboration between artists, scientists, and engineers, Campion suggests a path forward toward new aesthetic terrains in music and art.",Expanded Musical Practice,Computer Music,,,Edmund Campion,"CNMAT, University of California at Berkley, USA",96,"8:21-8:29 (7s), Campion mentions an uncanny valley between the interest of scientists and researchers and those of musicians and composers.","24:27-25:07 (40s), Campion beautifully describes his perspective on the nature of music.","56:04-56:21 (17s), Campion describes the scale of the productions he works with, and the unique collaborative atmosphere","1:00:59-1:01:39 (40s), Campion elaborates on this belief that ""collaboration is the key, and the goal is symbiosis""",,2hr35m (to watch 1hr03m; to review 1hr30m); additional 1hr30,"Audio from 27:23-27:56, interesting morphing acousmatic sounds traverse a continuum from noise to notes in an exceprt from the piece ""the other""","Audio from 36:19-37:34, exerpt from Wavelike and Diverse, percussion instruments in intersting algorithmically determined rhythmic patterns","video from 40:42-42:27, a simulation of the ensemble contemporaine with animated colored bubbles in a curious looking Max patch.",,"I would suggest however that it may be useful for the editors of the highlights reels to identify sections with interesting audio or video that might be used as b-roll or background music in addition to highlights in the lecture; particularly for lectures which include interesting audio excerpts, I can imagine personally finding this very useful.; SHOULD RAs be noted?"
Distinguished Lecture,https://youtu.be/iwOaYxSJGqI,Aspinwall (5),24-03-2016,Give me limits!,"computer music, sound recording, music production, music technology","Robert Henke presents two perspectives on computer based music production. The first, being the creative side, where he is the user of these technologies to aid his artistic expression. Later he explores the other, in which he is the person involved in creating these tools for others. Mr. Henke delves into how the invention of recording became a new art form in itself and has evolved to what we know as computer music. Furthermore, he talks about how music is developing and taking shape in a post-computer generation where possibilities are seemingly endless. Finally, he shares how he envisions future tools will be developed to serve new creative possibilities.",Expanded Musical Practice,Computer Music,,,Robert Henke,"Independent audiovisual installation artist and musician, Berlin, Germany",109,"[01:58 - 3:28] He describes how music is traditionally created, during the talk he references this to contrast his argument",[26:42 - 29:22] He exemplifies how the excess of tools becomes counterproductive to his creative process,[36:18 - 38:13] He talks about how coding can become a personal compositional tool  ,[49:45 - 52:18] He resolves his idea of dealing with over-abundance of tools.,,4h,,,,,
Distinguished Lecture,https://youtu.be/4A99fAHNL50,Aspinwall (2),21-04-2016,"Virtual musical Instruments in virtual rooms - what's real at all?
","virtual acoustics, virtual reality, simulated spaces, immersion","In this talk, Michael Vorländer explores the current state of virtual acoustics technology. He starts the lecture with a brief explanation of how virtual sources are generated, shaped and reproduced using computer models. Afterwards he shows how these models are applied to virtual reality content to achieve real time immersive experiences. Mr. Vorländer demonstrates some of his immersive projects including a 3D reconstruction of the Montreux Casino in Switzerland. He finishes by talking about the challenges in the field and gives an overview of the current methods for quantifying and evaluating immersion.","Instruments, Devices and Systems",Immersion,,,Michael Vorländer,"RWTH Aachen University, Germany",92,[2:40 - 3:41] He explains how virtual reality representations of data can help people with non-technical background understand complex data,[06:45 -07:04 ] He shows the overview of the lecture,[51:25 52:30] He states the advantages of multidisciplinary collaboration using virtual reality for data visualization,,,3hr,,,,,
Distinguished Lecture,https://youtu.be/hRA0Yqfu9oM,Richardson (1),20-10-2016,What Makes us Musical Animals?,"musicality, beat perception, beat induction, beat synchronization, relative pitch","Musicality can be defined as a naturally developing set of traits based on and constrained by our cognitive and biological system, while music is a social and cultural construct built on that very musicality. Without the skills of musicality, there is no music. All humans share a predisposition for music. As stated by the hypothesis of multicomponent musicality, humans and animals may share some of the skills necessary for musicality, and other qualities may be species specific. Honing explores the components of musicality, particularly beat induction, and the question of which musical traits humans and animals share.","Cognition, Perception and Movement",Perception,,,Henkjan Honing,"University of Amersterdam, Netherlands",97,16:06-16:24: What are possible components of musicality and how are we studying them in animals.,18:24-20:30: introduces relative pitch and beat induction.,"56:26-57:16 Summary: We share a predispostion for music, beat perception and relative pitch are building blocks of musicality, and comparative research is a promising method.",,,2hr 55m,,,,,
Distinguished Lecture,https://youtu.be/HvmD4-5aRto,Reesor (2),23-02-2017,"The Instrument, the Player and the Maker","Transitional flute, Musical acoustics, Instrument design ","Benoit Fabre presents cumulative flute-centred research in musical acoustics that examines the relations between maker design, instrument physics, and player technique, within the context of musical purpose. He shows a new transitional flute that he has developed in conversation with the research. Fabre details the flute player’s basic task of crafting particular jet streams according to the instrument’s resonator and desired tones. He illustrates that the execution of the basic task is dependent on its musical context, where musical intention is correlated to respiratory effort and organized by time shapes, and time shapes depend on one’s musical understanding rather than technique. Further, musical line direction is closely correlated to respiratory effort, which leads Fabre to present a new hypothesis for further study.","Instruments, Devices and Systems",Design,,,Benoit Fabre,"Sorbonne Universités - UPMC, France",122,Mirror neuron hypothesis (36:20-38:10): Explanation of a new area of study in response to the cumulative research.,Predicting sound consequences of design choices (41:25-43:55): Description of useful considerations for an instrument maker.,Demonstration of new transitional flute (46:10-46:40): Performance of a Schumann oboe excerpt.,,,6hr45,,,,,
Distinguished Lecture,https://youtu.be/RcCFzaaImYE,Gjerbic (1),20-04-2017,Giving people control of our most important human sense—hearing,"hearing, control, active manipulation, social interactions  ","In this lecture, Dan Gauger details the mechanics and motivation behind the BOSE QC30 headphones. The QC30 model allows the user to adjust the level of noise cancellation on a near-continuous scale, enabling active manipulation of their sonic environment. This technology grants total control to the user over their sense of hearing, the sense, Gauger argues, humans have the least amount of control over. Not only does this capability increase comfort and productivity, but allows complete mobility between a fully-immersive sonic environment and a “social earphone” condition that allows the user to equalize their external world, thus enriching social interactions.","Instruments, Devices and Systems",Interaction,,,Dan Gauger,"BOSE, USA",100,"Gauger posits the claim “hearing is our most important human sense” and provides support through behavioral research, quotes from historical figures, and a powerful thought experiment posed to the audience (41:00–43:12). ","In his closing remarks, Gauger reiterates “compared to our other senses, we have less inherent control over [our hearing],” and summarizes the technologies employed in the QC-30 earphones (49:53–50:37).",,,,3hr,,,,,
Student Symposium KEYNOTE,https://youtu.be/5wCH_Y1V7cI,Reesor (1),19-10-2017,Learning to live with error? Some reflections on trying to use computers to do musicology,"Musicology, Computational musicology, Music information Retrieval, Chroma","Prof. Tim Crawford discusses his cumulative work in developing computer-based musicology tools as a basis from which future tools for musicology can be formed. Crawford’s vision was to develop tools which could allow one to find music information within a corpus, as with a librarian. Alongside an interdisciplinary music data research group, the group’s work catalysed a hybrid discipline called Music Information Retrieval. The driving force of this field is to harness tools that can search across data within a corpus. Crawford advocates the use of MIR tools within a semantic framework, thus holding the features of data in conversation with the external factors that surround them. Tools illustrated: audio searching across modern and historical recordings, and score searching across early music prints.",Music Information Research,Music Information Retrieval,,,Tim Crawford,"Computational Musicology, Goldsmiths University of London, UK",123,Using Chroma search to find selections of modern audio within large works (45:55-47:50).,Using Chroma to find audio selections across many performances of the same work (49:50-51:50).,Using Chroma to search for historical audio selections (52:55-54:35).,Explanation of searching for a selection of an early music score file across a corpus (57:55-1:00:00).,,4hr15,,,,,
Distinguished Lecture,https://youtu.be/OtAbY43wRKA,Generale (1),19-10-2017,"Recital Halls, Rehearsal Rooms, and Research Spaces","Acoustics, Room Design, Acoustic Treatment","With certain intended room purposes come challenges and factors that acousticians, consultants, and architects must consider when designing a space. In this distinguished lecture, Joseph Myers of Kirkegaard Associates offers an introduction to room acoustics and focuses on three types of spaces: those used for performance, rehearsal, and research. Using examples, Myers explains design considerations catered to each space regarding reflections, room treatment, sound colour, and reverberation. The talk closes with the design plans for McGill University's Multi Media Room (MMR), a space intended for performance, rehearsal, and research.","Instruments, Devices and Systems",Acoustics,,,Joseph Myers,"Kirkegaard Associates, USA",89,(~8:40 - 11:51) Introduction to Sound and Acoustics -- > Concepts introduced in this quick overview of sound and acoustics will be later expanded on and applied to designing a room.,"(~28:00) Recital Halls, Rehearsal Rooms, and Research Spaces (note: See below for start times of hall demos/""Sub-highlights"") --> A look into the design considerations for rooms of different purposes. See below for the ""subhighlights"" of the three different kinds of rooms.","(~52:33 - 55:33) Designing the McGill's Multi-Media Room (the MMR), a Space for Performance, Rehearsal, and Research --> Modelled from EMPAC, this segment highlights the challenges in designing a multipurpose room: McGill's MMR.",,,2hr,,,,,
Distinguished Lecture,https://youtu.be/5SqIRTyVQgg,Aspinwall (1),09-11-2017,YAMAHA's musical instruments and audio products as DSP applications,"instrument design, product design, music technology","Toshifumi Kunimoto talks about his career, dedicated to designing groundbreaking instruments for Yamaha. He presents a four decade retrospective of his work, highlighting the challenges that were encountered with each of the projects he worked on. After explaining how these ideas were developed, he evaluates each instrument’s strengths and weaknesses regarding sound, playability, user enjoyment, development time and cost. He concludes his lecture by highlighting the various approaches that can be taken to design a successful product.","Instruments, Devices and Systems",Design,,,Toshifumi Kunimoto,"YAMAHA, Japan",77,[02:22 - 04:30] A very basic and friendly introduction to the concepts behind synthesis methods,[37:43 - 39:41] He wraps up the presentation by sharing some ideas regarding how to approach new technologies for commercial purposes,,,,3.5hr,,,,,
Distinguished Lecture,https://youtu.be/HvXMnRU96_E,Tirumala (1),13-12-2017,Recombinant Music: Generative Approaches,"allegorical, recombinant, architecture, generative music, re-embodied intelligence, computational creativity, interactive art installations,","The talk weaves together some of the previous works of the speaker, Bill Seaman, in collaborations with other renowned artists such as Pauline Oliveros, Sonke Johnsen, etc., and their efforts to produce artwork by recombining  elements from other artworks. The works presented are primarily interactive art installations and compositions that were born of strategic recombinations of media forms like music (or sound), image, speech and text, done in real-time with the help of generative techniques and artifical intelligence machines.",Expanded Musical Practice,Artificial Intelligence,,,Bill Seaman,"Duke Trinity College of Arts and Sciences, USA",79,5:37 - 6:32: Using AI in collaboration with John Supko,15:00 -  16:21: Passage Sets,19:29 -  20: 37: Meta Timepiece,"21:56 - 22:49, 25:00 - Machines creating art.",,2hr,,,,,
Distinguished Lecture,https://youtu.be/SyixalrH7xo,Martins (11),02-01-2018,Composing the real,"extended vocal techniques, electro-acoustics, sound morphing, sonic qualities","Trevor Wishart writes music using speech but in a unique and unconventional way. Instead of focusing on the narrative content he studies the sonic qualities of syllables from multiple languages and manipulates them aiming for a balance between technical and musical aesthetic exploration. Through the morphing of the voice he is then able to mimic the sound of bees or even bells. In his lecture, he shares these creative and compositional processes as well as many excerpts of his music. The details include challenges with collecting material for his compositions, some rather funny anecdotes, and the software programming he does himself in order to accomplish his musical ideas.  ",Expanded Musical Practice,Composition,,,Trevor Wishart,"Composer & Performer, UK",108,"4:08-4:58 
Excerpt from a piece that uses the subharmonic of the voice and morphs it into the sound of bees.","5:29-6:39 
Wishart walks the audience through his piece, explaining the compositional process he used to achieve a bell-like sound based on a sang syllable.","15:57-18:06 
Example of th intricate creative process adopted by Wishart, from question (concept) to realization (sonic representation); in this case, the lengthening  of an iterative syllable",,,3hr,,,,,
Distinguished Lecture,https://www.youtube.com/watch?v=dQt1yPeyV38,,15-03-2018,"Gesture: a Language to Sense, Express, Control","sing language,  theater, musical gestures, avatar, motion capture","Gesture is used as a means of communication in a variety of circumstances, however deeper knowledge of the mapping that occurs between the language units and the motion is required. Gibet proposes a perception/production approach for explaining motion and language production/comprehension related to sign language, theater, and musical gestures. She offers a methodological approach for the extraction of meaningful components of motion in the decoding process and use of these components to re-synthesize motion in the encoding process. Beyond this, Gibet describes the tools developed for specific analysis/synthesis models adapted to gestures: avatar technology as well as the synthesis models and methods employed.","Cognition, Perception and Movement",Gesture,,,Sylvie Gibet,"University of South Brittany, France",103,0:43-1:20 Overview of talk: skilled human gestures,5:26-6:19: Content/Outline of the presentation (movement notations/languages and perception of biological motion) and focus of the research,17:03-18:30: Gibet proposes a perception/production approach,"56:14-57:34: Conclusions of presentation on sign language studies, physical theator, percussion, and conducting. ",,40 minutes (6/15)         1:15 (6/16),,,,,
